,Normal,Fighting,Flying,Poison,Ground,Rock,Bug,Ghost,Steel,Fire,Water,Grass,Electric,Psychic,Ice,Dragon,Dark,Fairy
Normal,1×,1×,1×,1×,1×,1⁄2×,1×,0×,1⁄2×,1×,1×,1×,1×,1×,1×,1×,1×,1×
Fighting,2×,1×,1⁄2×,1⁄2×,1×,2×,1⁄2×,0×,2×,1×,1×,1×,1×,1⁄2×,2×,1×,2×,1⁄2×
Flying,1×,2×,1×,1×,1×,1⁄2×,2×,1×,1⁄2×,1×,1×,2×,1⁄2×,1×,1×,1×,1×,1×
Poison,1×,1×,1×,1⁄2×,1⁄2×,1⁄2×,1×,1⁄2×,0×,1×,1×,2×,1×,1×,1×,1×,1×,2×
Ground,1×,1×,0×,2×,1×,2×,1⁄2×,1×,2×,2×,1×,1⁄2×,2×,1×,1×,1×,1×,1×
Rock,1×,1⁄2×,2×,1×,1⁄2×,1×,2×,1×,1⁄2×,2×,1×,1×,1×,1×,2×,1×,1×,1×
Bug,1×,1⁄2×,1⁄2×,1⁄2×,1×,1×,1×,1⁄2×,1⁄2×,1⁄2×,1×,2×,1×,2×,1×,1×,2×,1⁄2×
Ghost,0×,1×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,1⁄2×,1×
Steel,1×,1×,1×,1×,1×,2×,1×,1×,1⁄2×,1⁄2×,1⁄2×,1×,1⁄2×,1×,2×,1×,1×,2×
Fire,1×,1×,1×,1×,1×,1⁄2×,2×,1×,2×,1⁄2×,1⁄2×,2×,1×,1×,2×,1⁄2×,1×,1×
Water,1×,1×,1×,1×,2×,2×,1×,1×,1×,2×,1⁄2×,1⁄2×,1×,1×,1×,1⁄2×,1×,1×
Grass,1×,1×,1⁄2×,1⁄2×,2×,2×,1⁄2×,1×,1⁄2×,1⁄2×,2×,1⁄2×,1×,1×,1×,1⁄2×,1×,1×
Electric,1×,1×,2×,1×,0×,1×,1×,1×,1×,1×,2×,1⁄2×,1⁄2×,1×,1×,1⁄2×,1×,1×
Psychic,1×,2×,1×,2×,1×,1×,1×,1×,1⁄2×,1×,1×,1×,1×,1⁄2×,1×,1×,0×,1×
Ice,1×,1×,2×,1×,2×,1×,1×,1×,1⁄2×,1⁄2×,1⁄2×,2×,1×,1×,1⁄2×,2×,1×,1×
Dragon,1×,1×,1×,1×,1×,1×,1×,1×,1⁄2×,1×,1×,1×,1×,1×,1×,2×,1×,0×
Dark,1×,1⁄2×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,1⁄2×,1⁄2×
Fairy,1×,2×,1×,1⁄2×,1×,1×,1×,1×,1⁄2×,1⁄2×,1×,1×,1×,1×,1×,2×,2×,1×
